Designator,Mid X,Mid Y,Layer,Rotation,Ref-X(mm),Ref-Y(mm)
C5,26.388mm,65.786000mm,Bottom,180.0,26.388mm,65.786000mm
C6,21.844mm,53.086000mm,Bottom,180.0,21.844mm,53.086000mm
C8,26.175mm,49.530000mm,Bottom,0.0,26.175mm,49.530000mm
IC1,28.456mm,58.525000mm,Bottom,180.0,28.456mm,58.525000mm
C1,83.299000mm,78.486000mm,Top,0.0,83.299000mm,78.486000mm
C2,83.594000mm,76.454000mm,Top,0.0,83.594000mm,76.454000mm
C3,88.125000mm,98.552000mm,Top,0.0,88.125000mm,98.552000mm
C4,88.674000mm,97.282000mm,Top,0.0,88.674000mm,97.282000mm
C7,71.371500mm,81.280000mm,Top,180.0,71.371500mm,81.280000mm
D1,83.545000mm,73.152000mm,Top,180.0,83.545000mm,73.152000mm
D2,90.701000mm,97.282000mm,Top,0.0,90.701000mm,97.282000mm
D3,92.708000mm,78.486000mm,Top,0.0,92.708000mm,78.486000mm
J2,93.218000mm,74.422000mm,Top,0.0,93.218000mm,74.422000mm
J3,98.537528mm,10.185819mm,Top,90.0,98.537528mm,10.185819mm
M1,87.798554mm,11.676637mm,Top,180.0,87.798554mm,11.676637mm
M2,49.028004mm,67.956999mm,Top,0.0,49.028004mm,67.956999mm
M3,51.195000mm,61.665001mm,Top,-90.0,51.195000mm,61.665001mm
M4,28.847000mm,35.357000mm,Top,0.0,28.847000mm,35.357000mm
M5,37.639000mm,50.036998mm,Top,0.0,37.639000mm,50.036998mm
M6,37.893000mm,24.382998mm,Top,0.0,37.893000mm,24.382998mm
Q1,32.778700mm,69.596000mm,Top,90.0,32.778700mm,69.596000mm
Q2,32.778698mm,76.962002mm,Top,90.0,32.778698mm,76.962002mm
R1,92.747528mm,11.933819mm,Top,180.0,92.747528mm,11.933819mm
R2,92.745528mm,8.885819mm,Top,180.0,92.745528mm,8.885819mm
R3,33.782000mm,28.577000mm,Top,90.0,33.782000mm,28.577000mm
R4,33.782000mm,31.115000mm,Top,90.0,33.782000mm,31.115000mm
R5,33.528000mm,20.835968mm,Top,90.0,33.528000mm,20.835968mm
R6,32.764151mm,23.496112mm,Top,90.0,32.764151mm,23.496112mm
R7,83.568000mm,74.168000mm,Top,0.0,83.568000mm,74.168000mm
R8,41.593000mm,67.310000mm,Top,180.0,41.593000mm,67.310000mm
R9,90.701000mm,98.298000mm,Top,0.0,90.701000mm,98.298000mm
R10,92.710000mm,77.470000mm,Top,0.0,92.710000mm,77.470000mm
R11,41.592998mm,74.676002mm,Top,180.0,41.592998mm,74.676002mm
R12,33.528000mm,49.657000mm,Top,90.0,33.528000mm,49.657000mm
R13,32.766000mm,52.195000mm,Top,90.0,32.766000mm,52.195000mm
R15,34.290000mm,84.203000mm,Top,90.0,34.290000mm,84.203000mm
R16,32.835850mm,86.739000mm,Top,90.0,32.835850mm,86.739000mm
R17,33.274000mm,57.912000mm,Top,0.0,33.274000mm,57.912000mm
R18,32.766000mm,60.454000mm,Top,90.0,32.766000mm,60.454000mm
R19,34.036000mm,13.335000mm,Top,90.0,34.036000mm,13.335000mm
R20,32.835850mm,15.875000mm,Top,90.0,32.835850mm,15.875000mm
U1,91.449999mm,88.000000mm,Top,-90.0,91.449999mm,88.000000mm
U2,28.448000mm,29.972000mm,Top,180.0,28.448000mm,29.972000mm
U3,28.448000mm,22.352000mm,Top,180.0,28.448000mm,22.352000mm
U4,28.448000mm,51.054000mm,Top,180.0,28.448000mm,51.054000mm
U6,28.448000mm,85.598000mm,Top,180.0,28.448000mm,85.598000mm
U7,28.448000mm,59.182000mm,Top,180.0,28.448000mm,59.182000mm
U8,28.448000mm,14.732000mm,Top,180.0,28.448000mm,14.732000mm
